TASK_TYPE,SUBLOT,AREA,EQP,STEP,DATES,PACKAGE
WIRE_TO_OPTICAL,Q26056768-10,C04-15,3QHS4195,三光检验,2026-07-24T07:00:07,SOP8(150mil)(12R)
WIRE_TO_OPTICAL,Q26067148-18,C10-02,3QHS4106,三光检验,2026-07-21T02:59:40,TSSOP14(173mil)(10R)
WIRE_TO_OPTICAL,Q26065043-1,C15-05,3QHS4237,三光检验,2026-07-24T08:04:22,MSOP10/PP
WIRE_TO_OPTICAL,Q26072774-9,N15-7,2QHB55,三光检验,2026-07-24T09:32:29,TO-263-7L(2R)
WIRE_TO_OPTICAL,Q26068492-2,C14-14,3QHS4180,三光检验,2026-07-24T09:17:46,SOP8(150mil)(12R)
WIRE_TO_OPTICAL,Q26057206-39,C17-11,3QHS4224,三光检验,2026-07-24T10:32:14,TSSOP16(173mil)(10R)
WIRE_TO_OPTICAL,Q26067813-5,C17-09,3QHS4216,三光检验,2026-07-24T12:23:22,SOP8(150mil)(12R)
WIRE_TO_OPTICAL,Q26065490-9,C10-09,3QHS4125,三光检验,2026-07-24T10:56:42,HTSSOP32/PP(240mil)(8R)
WIRE_TO_OPTICAL,Q26052300-3,C14-06,3QHS4179,三光检验,2026-07-24T11:23:50,SOP14(9R)
WIRE_TO_OPTICAL,Q26057206-38,C10-13,3QHS4108,三光检验,2026-07-24T10:46:38,TSSOP16(173mil)(10R)
WIRE_TO_OPTICAL,Q26065335-13-2,C17-07,3QHS4221,三光检验,2026-07-24T09:17:17,SOP14(9R)
WIRE_TO_OPTICAL,Q26066042-13,C01-15,3QHS3835,三光检验,2026-07-22T14:34:34,SSOP16/PP(150mil)(8R)(P0.5)
WIRE_TO_OPTICAL,Q26066357-3,N1-4,2QHE60,三光检验,2026-07-21T04:10:35,PDFNWB5×6-8L(P1.27T0.95)
WIRE_TO_OPTICAL,Q26066352-3,N1-4,2QHE60,三光检验,2026-07-19T01:51:05,PDFNWB5×6-8L(P1.27T0.95)
WIRE_TO_OPTICAL,Q26066351-3,N1-4,2QHE60,三光检验,2026-07-19T07:10:15,PDFNWB5×6-8L(P1.27T0.95)
WIRE_TO_OPTICAL,Q26066355-2,N1-4,2QHE60,三光检验,2026-07-19T14:19:30,PDFNWB5×6-8L(P1.27T0.95)
WIRE_TO_OPTICAL,Q26066355-3,N1-4,2QHE60,三光检验,2026-07-20T12:42:40,PDFNWB5×6-8L(P1.27T0.95)
WIRE_TO_OPTICAL,Q26066358-1,N1-4,2QHE60,三光检验,2026-07-23T20:14:14,PDFNWB5×6-8L(P1.27T0.95)
WIRE_TO_OPTICAL,Q26072668-4,N16-8,2QHB99,三光检验,2026-07-22T21:16:40,TO-263-7L(2R)
WIRE_TO_OPTICAL,Q26066041-17,C01-02,3QHS3821,三光检验,2026-07-22T21:01:22,SSOP14/PP(150mil)(8R)
WIRE_TO_OPTICAL,Q26064708-10,C14-09,3QHS4183,三光检验,2026-07-23T09:48:51,SSOP16/PP(150mil)(8R)(P0.5A)
WIRE_TO_OPTICAL,Q26066336-13,C17-12,3QHS4208,三光检验,2026-07-24T02:48:51,MSOP10(8R)
STAGING_TO_WIRE,Q26055760-57,C12-06,3QHS4147,焊线,2026-07-24T06:09:36,SOP16(300mil)(5R)
STAGING_TO_WIRE,Q26079222-1,S01-03,3QHS4081,焊线,2026-07-24T14:55:28,SOP16(300mil)(5R)
STAGING_TO_WIRE,Q26066052-1,D03-15,3QHS760,焊线,2026-07-24T09:32:37,SOP8/PP(150mil)(12R)
STAGING_TO_WIRE,Q26066920-1,D19-11,3QHS112,焊线,2026-07-24T08:49:44,SOP8(150mil)(12R)
STAGING_TO_WIRE,Q26072242-12,D16-03,3QHS3051,焊线,2026-07-24T08:15:45,SSOP24(209MIL)
STAGING_TO_WIRE,Q26074762-2,Q01-03,3QHS3961,焊线,2026-07-24T14:10:50,QFNWB5*5-32L(P0.50T0.75)(1 block)
STAGING_TO_WIRE,Q26073136-7,Q02-13,3QHS4043,焊线,2026-07-24T12:30:08,DFNWB3*2-14L-C(P0.40T0.75)(1 block)
STAGING_TO_WIRE,Q26074640-12,Q03-11,3QHS566,焊线,2026-07-24T13:12:51,DFNWB2*3-6L-SA(P0.50T0.75)(1 block)
STAGING_TO_WIRE,Q26071376-19,Q01-22,3QHS3072,焊线,2026-07-24T12:15:46,DFNWB2*2-06L-AG(P0.65T0.75)(1 block)
STAGING_TO_WIRE,Q26079043-1,S01-02,3QHS4171,焊线,2026-07-24T12:18:06,SOP8(150mil)(12R)
STAGING_TO_WIRE,Q26048267-11,D22-10,3QHS4328,焊线,2026-07-24T09:45:58,TSSOP16(173mil)(10R)
STAGING_TO_WIRE,Q26057755-8,Q10-02,3QHS2687,焊线,2026-07-24T09:40:31,QFNWB1.9*1.8-12L-NA(P0.40T0.55)
STAGING_TO_WIRE,Q26072260-10,C13-08,3QHS4165,焊线,2026-07-24T12:46:45,TSOT-23-6L
STAGING_TO_WIRE,Q26062348-24,Q08-01,3QHS3905,焊线,2026-07-24T14:10:47,DFNWB2*2-08L-L(P0.50T0.55)(1 block)
STAGING_TO_WIRE,Q26068335-11,C01-01,3QHS3845,焊线,2026-07-24T13:44:25,CSOP10(300mil)(5R)
STAGING_TO_WIRE,Q26072564-4,D03-09,3QHS3839,焊线,2026-07-24T09:32:48,SOP8/PP(150mil)(12R)
STAGING_TO_WIRE,Q26073674-8,D19-13,3QHS504,焊线,2026-07-24T14:03:02,TSSOP8(8R)
STAGING_TO_WIRE,Q26062454-4,C05-05,3QHS4315,焊线,2026-07-24T11:53:19,MSOP8(118mil)(14R)
STAGING_TO_WIRE,Q26071817-5,D14-03,3QHS3065,焊线,2026-07-24T12:42:17,SOP8(150mil)(12R)
STAGING_TO_WIRE,Q26067491-13,Q07-09,3QHS3865,焊线,2026-07-24T06:29:33,DFNWB2*2-08L-L(P0.50T0.55)(1 block)
STAGING_TO_WIRE,Q26062454-6,C16-10,3QHS4271,焊线,2026-07-24T14:50:41,MSOP8(118mil)(14R)
STAGING_TO_WIRE,Q26066966-4,C03-04,3QHS4197,焊线,2026-07-24T13:43:29,TSSOP16(173mil)(10R)
STAGING_TO_WIRE,Q26067491-14,Q03-05,3QHS3892,焊线,2026-07-24T13:13:24,DFNWB2*2-08L-L(P0.50T0.55)(1 block)
STAGING_TO_WIRE,Q26068537-60,Q09-10,3QHS397,焊线,2026-07-24T12:54:55,DFNWB3*3-10L(P0.50T0.75)(1 block)
STAGING_TO_WIRE,Q26068537-62,D13-16,3QHS3082,焊线,2026-07-24T13:48:43,DFNWB3*3-10L(P0.50T0.75)(1 block)
STAGING_TO_WIRE,Q26073204-8,Q07-01,3QHS3943,焊线,2026-07-24T10:59:27,DFNWB2*2-06L-AB(P0.65T0.75)(1 block)
STAGING_TO_WIRE,Q26072934-3,D01-01,3QHS15,焊线,2026-07-24T11:54:58,SOP8/PP(150mil)(12R)
STAGING_TO_WIRE,Q26062443-2,D19-10,3QHS101,焊线,2026-07-24T09:11:33,SSOP9(150mil)(8R)
STAGING_TO_WIRE,Q26066740-23,C10-11,3QHS4128,焊线,2026-07-24T10:22:57,DFNWB3*3-8L-NF(P0.65T0.85)(1 block)(wettable)
STAGING_TO_WIRE,Q26063201-6-1,C03-13,3QHS4290,焊线,2026-07-24T14:41:11,SOP8(300mil)(5R)
STAGING_TO_WIRE,Q26068442-2,D09-06,3QHS763,焊线,2026-07-24T12:47:51,MSOP8/PP
STAGING_TO_WIRE,Q26066423-1,C15-09,3QHS4242,焊线,2026-07-24T13:15:50,SOP8(150mil)(12R)
STAGING_TO_WIRE,Q26072925-3,C09-14,3QHS4256,焊线,2026-07-24T11:54:24,SOP8/PP(150mil)(12R)
STAGING_TO_WIRE,Q26067554-16,C01-09,3QHS3824,焊线,2026-07-24T10:26:09,SOP8/PP(150mil)(12R)
STAGING_TO_WIRE,Q26072545-14,Q24-14,3QHS3790,焊线,2026-07-24T13:49:07,MSOP8/PP
